customerid,city,gender,senior_citizen,partner,dependents,tenure_months,contract,payment_method,monthly_charges,total_charges,churn_label,churn_score,churn_reason,churn_flag,avg_monthly_value,contract_risks,payment_risk,engagement_score,cltv,high_value
9063-ZGTUY,Adelanto,Female,No,Yes,No,61,Month-to-month,Mailed check,19.4,1182.55,Yes,82,Don't know,1,19.38606557377049,2,0,40.2,1183.3999999999999,0
2957-LOLHO,Apple Valley,Male,No,No,No,12,Month-to-month,Bank transfer (automatic),45.4,518.9,Yes,68,Don't know,1,43.24166666666667,2,0,28.7,544.8,0
7752-XUSCI,Crestline,Female,No,No,No,60,Month-to-month,Electronic check,105.9,6396.45,Yes,84,Don't know,1,106.6075,2,1,82.95,6354,1
4110-PFEUZ,Daggett,Female,No,No,No,1,Month-to-month,Mailed check,69.55,69.55,Yes,73,Competitor had better devices,1,69.55,2,0,35.275,69.55,0
0256-LTHVJ,Ludlow,Female,No,Yes,No,28,Month-to-month,Electronic check,81.05,2227.1,Yes,98,Competitor had better devices,1,79.53928571428571,2,1,54.525,2269.4,1
0880-TKATG,Lucerne Valley,Male,No,Yes,No,4,Month-to-month,Electronic check,101.15,385.9,Yes,84,Competitor had better devices,1,96.475,2,1,52.575,404.6,0
3811-VBYBZ,Lytle Creek,Male,No,No,No,7,Month-to-month,Electronic check,99.8,673.25,Yes,98,Competitor had better devices,1,96.17857142857143,2,1,53.4,698.6,0
4640-UHDOS,Phelan,Female,No,Yes,No,13,Month-to-month,Electronic check,55.95,734.35,Yes,91,Competitor had better devices,1,56.48846153846154,2,1,34.475,727.35,0
3583-EKAPL,Redlands,Male,No,No,No,1,Month-to-month,Electronic check,55,55,Yes,71,Competitor had better devices,1,55,2,1,28,55,0
9399-APLBT,Rialto,Female,No,Yes,No,1,Month-to-month,Electronic check,74.7,74.7,Yes,80,Competitor had better devices,1,74.7,2,1,37.85,74.7,0
2359-KMGLI,Running Springs,Male,No,No,No,24,Month-to-month,Electronic check,80.25,1861.5,Yes,77,Competitor had better devices,1,77.5625,2,1,52.125,1926,0
0306-JAELE,Tecopa,Male,No,No,No,5,Month-to-month,Electronic check,96.1,453.4,Yes,66,Competitor had better devices,1,90.67999999999999,2,1,50.55,480.5,0
6227-HWPWX,Victorville,Female,No,No,No,15,Month-to-month,Bank transfer (automatic),69,994.8,Yes,73,Competitor had better devices,1,66.32,2,0,42,1035,0
0447-BEMNG,Wrightwood,Female,No,Yes,No,48,Month-to-month,Bank transfer (automatic),45.3,2145,Yes,65,Price too high,1,44.6875,2,0,46.65,2174.3999999999996,1
5949-XIKAE,San Bernardino,Female,No,Yes,No,8,Month-to-month,Electronic check,83.55,680.05,Yes,65,Product dissatisfaction,1,85.00625,2,1,45.775,668.4,0
8372-JUXUI,San Bernardino,Male,No,No,No,1,Month-to-month,Electronic check,74.35,74.35,Yes,93,Service dissatisfaction,1,74.35,2,1,37.675,74.35,0
0388-EOPEX,Riverside,Female,No,Yes,No,2,Month-to-month,Electronic check,74.4,139.4,Yes,77,Lack of self-service on Website,1,69.7,2,1,38.2,148.8,0
8205-OTCHB,Riverside,Male,No,No,No,22,One year,Bank transfer (automatic),43.75,903.6,Yes,66,Network reliability,1,41.07272727272727,1,0,32.875,962.5,0
6235-VDHOM,Riverside,Female,Yes,No,No,5,Month-to-month,Electronic check,28.45,131.05,Yes,89,Limited range of services,1,26.21,2,1,16.725,142.25,0
7783-YKGDV,March Air Reserve Base,Female,No,No,No,12,Month-to-month,Bank transfer (automatic),99.7,1238.45,Yes,76,Lack of affordable download/upload speed,1,103.20416666666667,2,0,55.85,1196.4,0
5609-CEBID,Hemet,Female,Yes,No,No,20,Month-to-month,Electronic check,94.1,1782.4,Yes,87,Long distance charges,1,89.12,2,1,57.05,1882,0
7218-HKQFK,Homeland,Male,No,Yes,No,2,Month-to-month,Electronic check,94.2,167.5,Yes,72,Don't know,1,83.75,2,1,48.1,188.4,0
4636-QRJKY,Idyllwild,Female,No,Yes,No,6,Month-to-month,Electronic check,80.5,502.85,Yes,98,Price too high,1,83.80833333333334,2,1,43.25,483,0
5956-VKDTT,Moreno Valley,Female,Yes,Yes,No,5,Month-to-month,Electronic check,74.35,334.8,Yes,82,Product dissatisfaction,1,66.96000000000001,2,1,39.675,371.75,0
9412-GHEEC,Murrieta,Male,No,No,No,40,Month-to-month,Bank transfer (automatic),104.8,4131.95,Yes,88,Service dissatisfaction,1,103.29875,2,0,72.4,4192,1
0257-ZESQC,Perris,Female,Yes,Yes,No,27,Month-to-month,Bank transfer (automatic),75.2,1929.35,Yes,99,Lack of self-service on Website,1,71.4574074074074,2,0,51.1,2030.4,1
6825-UYPFK,Sun City,Female,No,No,No,23,Month-to-month,Bank transfer (automatic),75.6,1758.6,Yes,81,Network reliability,1,76.4608695652174,2,0,49.3,1738.8,0
8397-MVTAZ,Sun City,Male,No,Yes,No,34,Month-to-month,Electronic check,100.05,3480,Yes,72,Don't know,1,102.3529411764706,2,1,67.025,3401.7,1
9282-IZGQK,Irvine,Female,No,No,No,1,Month-to-month,Electronic check,85,85,Yes,80,Don't know,1,85,2,1,43,85,0
1342-JPNKI,Lake Forest,Male,No,No,No,10,Month-to-month,Bank transfer (automatic),86.05,834.1,Yes,85,Don't know,1,83.41,2,0,48.025,860.5,0
2817-NTQDO,Huntington Beach,Male,No,No,No,13,Month-to-month,Credit card (automatic),45.55,597,Yes,74,Poor expertise of online support,1,45.92307692307692,2,0,29.275,592.15,0
6986-IJDHX,Huntington Beach,Male,No,Yes,No,39,Month-to-month,Mailed check,86.3,3266,Yes,98,Poor expertise of phone support,1,83.74358974358974,2,0,62.65,3365.7,1
5301-GAUUY,Newport Beach,Male,No,No,No,32,Month-to-month,Bank transfer (automatic),80.35,2596.15,Yes,92,Competitor had better devices,1,81.1296875,2,0,56.175,2571.2,1
0939-YAPAF,Santa Ana,Female,No,No,No,35,Month-to-month,Electronic check,100.25,3527.6,Yes,72,Competitor offered higher download speeds,1,100.78857142857143,2,1,67.625,3508.75,1
4710-FDUIZ,Santa Ana,Male,No,Yes,No,56,One year,Credit card (automatic),100.3,5614.45,Yes,67,Competitor offered more data,1,100.25803571428571,1,0,78.15,5616.8,1
1218-VKFPE,Anaheim,Female,No,Yes,No,12,Month-to-month,Mailed check,19,233.55,Yes,72,Competitor made better offer,1,19.462500000000002,2,0,15.5,228,0
3627-FHKBK,Anaheim,Female,No,No,No,1,Month-to-month,Mailed check,75.3,75.3,Yes,87,Competitor had better devices,1,75.3,2,0,38.15,75.3,0
2865-TCHJW,Anaheim,Female,Yes,No,No,4,Month-to-month,Electronic check,89.2,346.2,Yes,74,Competitor had better devices,1,86.55,2,1,46.6,356.8,0
7927-AUXBZ,Sun City,Female,No,No,No,30,Month-to-month,Electronic check,85.15,2555.9,Yes,76,Attitude of support person,1,85.19666666666667,2,1,57.575,2554.5,1
5192-EBGOV,Brea,Female,Yes,No,No,1,Month-to-month,Electronic check,85.7,85.7,Yes,66,Competitor offered higher download speeds,1,85.7,2,1,43.35,85.7,0
0719-SYFRB,Norco,Female,No,No,No,12,Month-to-month,Mailed check,61.65,713.75,Yes,67,Competitor offered higher download speeds,1,59.479166666666664,2,0,36.825,739.8,0
3419-SNJJD,Yorba Linda,Female,Yes,Yes,No,65,Month-to-month,Bank transfer (automatic),105.25,6786.4,Yes,91,Competitor offered higher download speeds,1,104.40615384615384,2,0,85.125,6841.25,1
6543-CPZMK,Ventura,Male,No,Yes,No,9,Month-to-month,Electronic check,29.95,248.95,Yes,83,Competitor offered more data,1,27.66111111111111,2,1,19.475,269.55,0
4765-OXPPD,Ventura,Female,No,Yes,No,9,Month-to-month,Mailed check,65,663.05,Yes,76,Competitor offered more data,1,73.67222222222222,2,0,37,585,0
1009-IRMNA,Port Hueneme,Female,No,No,No,7,Month-to-month,Bank transfer (automatic),20,137.6,Yes,100,Competitor offered more data,1,19.657142857142855,2,0,13.5,140,0
4554-YGZIH,Summerland,Male,Yes,Yes,No,49,Month-to-month,Credit card (automatic),90.05,4547.25,Yes,96,Competitor made better offer,1,92.80102040816327,2,0,69.525,4412.45,1
5099-BAILX,Santa Barbara,Male,Yes,Yes,No,43,Month-to-month,Bank transfer (automatic),110.75,4687.9,Yes,65,Competitor made better offer,1,109.02093023255813,2,0,76.875,4762.25,1
7207-RMRDB,Santa Barbara,Female,No,Yes,No,65,Month-to-month,Electronic check,105.5,6985.65,Yes,89,Competitor had better devices,1,107.47153846153846,2,1,85.25,6857.5,1
4913-EHYUI,Alpaugh,Male,Yes,Yes,No,56,One year,Bank transfer (automatic),104.55,5794.65,Yes,91,Competitor offered higher download speeds,1,103.47589285714285,1,0,80.275,5854.8,1
0195-IESCP,Armona,Male,No,Yes,No,10,Month-to-month,Electronic check,85.25,855.3,Yes,75,Competitor offered more data,1,85.53,2,1,47.625,852.5,0
4580-TMHJU,Avenal,Female,No,Yes,No,43,Month-to-month,Electronic check,56.15,2499.3,Yes,65,Don't know,1,58.12325581395349,2,1,49.575,2414.45,1
0970-ETWGE,Bodfish,Male,No,No,No,1,Month-to-month,Electronic check,89.55,89.55,Yes,99,Competitor had better devices,1,89.55,2,1,45.275,89.55,0
1626-ERCMM,Camp Nelson,Male,Yes,Yes,No,20,Month-to-month,Electronic check,94.55,1899.65,Yes,84,Competitor had better devices,1,94.9825,2,1,57.275,1891,0
0887-HJGAR,Coalinga,Male,No,No,No,1,Month-to-month,Mailed check,45.7,45.7,Yes,95,Competitor offered higher download speeds,1,45.7,2,0,23.35,45.7,0
5644-PDMZC,Delano,Female,Yes,No,No,2,Month-to-month,Electronic check,89.5,161.5,Yes,80,Competitor offered higher download speeds,1,80.75,2,1,45.75,179,0
9576-ANLXO,Earlimart,Female,No,No,No,3,Month-to-month,Bank transfer (automatic),69.55,222.3,Yes,87,Competitor offered higher download speeds,1,74.10000000000001,2,0,36.275,208.64999999999998,0
2024-BASKD,Exeter,Female,No,No,No,1,Month-to-month,Mailed check,74.6,74.6,Yes,94,Competitor offered more data,1,74.6,2,0,37.8,74.6,0
4160-AMJTL,Fellows,Female,Yes,No,No,8,Month-to-month,Electronic check,19.65,164.3,Yes,83,Competitor offered more data,1,20.5375,2,1,13.825,157.2,0
4464-JCOLN,Huron,Male,No,Yes,No,2,One year,Mailed check,19.85,35.9,Yes,68,Competitor offered more data,1,17.95,1,0,10.925,39.7,0
5650-VDUDS,Kernville,Female,No,No,No,4,Month-to-month,Mailed check,24.25,96.05,Yes,93,Competitor made better offer,1,24.0125,2,0,14.125,97,0
7538-GWHML,Lemon Cove,Female,No,No,No,2,Month-to-month,Electronic check,69.65,145.15,Yes,80,Competitor made better offer,1,72.575,2,1,35.825,139.3,0
3859-CVCET,Lindsay,Female,No,No,No,4,Month-to-month,Mailed check,45.65,191.05,Yes,78,Competitor had better devices,1,47.7625,2,0,24.825,182.6,0
3276-HDUEG,Maricopa,Female,No,No,No,1,Month-to-month,Mailed check,75.05,75.05,Yes,78,Competitor offered higher download speeds,1,75.05,2,0,38.025,75.05,0
0823-HSCDJ,Onyx,Male,Yes,No,No,52,Month-to-month,Electronic check,49.15,2550.9,Yes,90,Competitor offered more data,1,49.05576923076923,2,1,50.575,2555.7999999999997,1
0822-GAVAP,Posey,Female,No,No,No,2,Month-to-month,Electronic check,34.7,62.25,Yes,65,Competitor made better offer,1,31.125,2,1,18.35,69.4,0
1448-PWKYE,Shafter,Male,No,Yes,No,1,Month-to-month,Electronic check,80,80,Yes,88,Competitor had better devices,1,80,2,1,40.5,80,0
0067-DKWBL,Tipton,Male,Yes,No,No,2,Month-to-month,Electronic check,49.25,91.1,Yes,89,Competitor had better devices,1,45.55,2,1,25.625,98.5,0
2276-YDAVZ,Wofford Heights,Female,No,No,No,3,Month-to-month,Credit card (automatic),75.1,270.7,Yes,69,Competitor offered higher download speeds,1,90.23333333333333,2,0,39.05,225.29999999999998,0
5896-NPFWW,Visalia,Male,No,Yes,No,3,Month-to-month,Electronic check,50.15,168.15,Yes,86,Competitor offered higher download speeds,1,56.050000000000004,2,1,26.575,150.45,0
7133-VBDCG,Bakersfield,Female,No,No,No,25,Month-to-month,Bank transfer (automatic),79.85,2015.35,Yes,85,Competitor offered higher download speeds,1,80.61399999999999,2,0,52.425,1996.2499999999998,0
1029-QFBEN,San Luis Obispo,Male,No,No,No,1,Month-to-month,Mailed check,19.55,19.55,Yes,66,Competitor offered more data,1,19.55,2,0,10.275,19.55,0
4952-YSOGZ,Lompoc,Female,No,Yes,No,4,Month-to-month,Electronic check,85.95,381.3,Yes,74,Competitor offered more data,1,95.325,2,1,44.975,343.8,0
1589-AGTLK,Lompoc,Male,No,No,No,3,Month-to-month,Electronic check,45.35,141.5,Yes,67,Competitor offered more data,1,47.166666666666664,2,1,24.175,136.05,0
5244-IRFIH,Los Alamos,Male,Yes,Yes,No,33,Month-to-month,Electronic check,94.5,3105.55,Yes,96,Competitor made better offer,1,94.10757575757576,2,1,63.75,3118.5,1
2684-EIWEO,Oceano,Female,Yes,No,No,30,Month-to-month,Credit card (automatic),91.7,2758.15,Yes,97,Competitor made better offer,1,91.93833333333333,2,0,60.85,2751,1
6439-GTPCA,Pismo Beach,Female,No,No,No,45,Month-to-month,Electronic check,87.25,3941.7,Yes,73,Competitor had better devices,1,87.59333333333333,2,1,66.125,3926.25,1
5138-WVKYJ,Mojave,Male,No,No,No,10,Month-to-month,Electronic check,98.55,1008.55,Yes,80,Competitor offered higher download speeds,1,100.85499999999999,2,1,54.275,985.5,0
6683-VLCTZ,Johannesburg,Male,Yes,No,No,20,Month-to-month,Electronic check,98.55,1842.8,Yes,92,Competitor offered more data,1,92.14,2,1,59.275,1971,0
2189-WWOEW,Keene,Female,No,No,No,15,Month-to-month,Bank transfer (automatic),85.9,1269.55,Yes,96,Don't know,1,84.63666666666667,2,0,50.45,1288.5,0
1894-IGFSG,Lancaster,Female,No,No,No,22,Month-to-month,Electronic check,89.25,1907.85,Yes,82,Competitor had better devices,1,86.72045454545454,2,1,55.625,1963.5,0
7379-POKDZ,Lancaster,Male,No,Yes,No,3,Month-to-month,Electronic check,70.3,208.85,Yes,66,Competitor had better devices,1,69.61666666666666,2,1,36.65,210.89999999999998,0
0236-HFWSV,Palmdale,Male,No,No,No,15,Month-to-month,Electronic check,93.35,1444.65,Yes,77,Competitor offered higher download speeds,1,96.31,2,1,54.175,1400.25,0
3900-AQPHZ,Pearblossom,Female,No,No,No,1,Month-to-month,Mailed check,19.9,19.9,Yes,100,Competitor offered higher download speeds,1,19.9,2,0,10.45,19.9,0
5842-POCOP,Randsburg,Female,No,Yes,No,5,Month-to-month,Mailed check,88.9,454.15,Yes,79,Competitor offered higher download speeds,1,90.83,2,0,46.95,444.5,0
2037-XJFUP,Ridgecrest,Male,No,Yes,No,33,One year,Electronic check,95.8,3036.75,Yes,76,Competitor offered more data,1,92.02272727272727,1,1,64.4,3161.4,1
7314-OXENN,Trona,Male,No,No,No,2,Month-to-month,Electronic check,82,184.65,Yes,97,Competitor offered more data,1,92.325,2,1,42,164,0
0322-CHQRU,Palmdale,Male,No,No,No,2,Month-to-month,Electronic check,45.35,89.5,Yes,81,Competitor offered more data,1,44.75,2,1,23.675,90.7,0
4678-DVQEO,Bass Lake,Female,No,No,No,1,Month-to-month,Electronic check,52.2,52.2,Yes,71,Competitor made better offer,1,52.2,2,1,26.6,52.2,0
0691-IFBQW,Biola,Female,Yes,No,No,46,One year,Electronic check,110,4874.8,Yes,81,Competitor made better offer,1,105.97391304347826,1,1,78,5060,1
3009-JWMPU,Five Points,Male,No,No,No,62,One year,Electronic check,96.75,6125.4,Yes,92,Attitude of service provider,1,98.79677419354839,1,1,79.375,5998.5,1
1450-GALXR,Friant,Female,No,No,No,10,Month-to-month,Electronic check,98.5,1058.25,Yes,74,Attitude of service provider,1,105.825,2,1,54.25,985,0
3138-BKYAV,Kerman,Male,No,No,No,6,Month-to-month,Electronic check,85.35,489.45,Yes,75,Attitude of service provider,1,81.575,2,1,45.675,512.0999999999999,0
4289-DTDKW,Madera,Male,No,Yes,No,40,Month-to-month,Electronic check,101.3,4113.1,Yes,70,Attitude of support person,1,102.82750000000001,2,1,70.65,4052,1
1820-TQVEV,Madera,Male,No,No,No,1,Month-to-month,Electronic check,69.55,69.55,Yes,76,Attitude of support person,1,69.55,2,1,35.275,69.55,0
2239-JALAW,Mendota,Male,No,No,No,58,One year,Bank transfer (automatic),103.25,6017.65,Yes,74,Attitude of support person,1,103.75258620689655,1,0,80.625,5988.5,1
4853-RULSV,Miramonte,Male,No,No,No,70,Two year,Credit card (automatic),104,7250.15,Yes,80,Attitude of service provider,1,103.57357142857143,0,0,87,7280,1
6275-YDUVO,Orosi,Female,No,No,No,2,Month-to-month,Mailed check,86.2,178.7,Yes,95,Attitude of service provider,1,89.35,2,0,44.1,172.4,0
0115-TFERT,Fresno,Male,No,Yes,No,21,Month-to-month,Electronic check,111.2,2317.1,Yes,89,Attitude of service provider,1,110.33809523809524,2,1,66.1,2335.2000000000003,1
2311-QYMUQ,San Joaquin,Female,No,Yes,No,16,Month-to-month,Credit card (automatic),89.45,1430.25,Yes,73,Attitude of support person,1,89.390625,2,0,52.725,1431.2,0
3643-AHCFP,Selma,Male,Yes,Yes,No,7,Month-to-month,Bank transfer (automatic),95.6,644.35,Yes,83,Competitor made better offer,1,92.05,2,0,51.3,669.1999999999999,0
9101-BWFSS,Tollhouse,Female,No,Yes,No,50,One year,Electronic check,108.55,5610.7,Yes,82,Moved,1,112.214,1,1,79.275,5427.5,1
9231-ZJYAM,Squaw Valley,Female,Yes,No,No,4,Month-to-month,Electronic check,78.85,292.8,Yes,72,Moved,1,73.2,2,1,41.425,315.4,0
6982-SSHFK,Fresno,Male,No,No,No,1,Month-to-month,Mailed check,44.4,44.4,Yes,89,Competitor offered higher download speeds,1,44.4,2,0,22.7,44.4,0
0727-BMPLR,Fresno,Female,Yes,No,No,55,One year,Electronic check,100,5509.3,Yes,83,Competitor offered higher download speeds,1,100.16909090909091,1,1,77.5,5500,1
1038-ZAGBI,Fresno,Female,No,Yes,No,12,One year,Bank transfer (automatic),19.8,229.6,Yes,94,Competitor offered higher download speeds,1,19.133333333333333,1,0,15.9,237.60000000000002,0
3027-ZTDHO,Fresno,Male,No,No,No,1,Month-to-month,Electronic check,89.9,89.9,Yes,80,Don't know,1,89.9,2,1,45.45,89.9,0
2382-BCKQJ,Big Sur,Female,No,No,No,62,One year,Electronic check,100.15,6413.65,Yes,91,Competitor offered higher download speeds,1,103.44596774193548,1,1,81.075,6209.3,1
2207-NHRJK,Carmel,Male,No,No,No,1,Month-to-month,Electronic check,50.8,50.8,Yes,85,Competitor offered higher download speeds,1,50.8,2,1,25.9,50.8,0
0947-MUGVO,Jolon,Male,Yes,Yes,No,20,Month-to-month,Electronic check,73.65,1463.5,Yes,95,Competitor offered higher download speeds,1,73.175,2,1,46.825,1473,0
9944-HKVVB,King City,Female,No,No,No,3,Month-to-month,Electronic check,95.1,307.4,Yes,77,Competitor offered higher download speeds,1,102.46666666666665,2,1,49.05,285.29999999999995,0
4124-MMETB,Lockwood,Male,No,No,No,22,Month-to-month,Credit card (automatic),94.65,2104.55,Yes,85,Competitor offered higher download speeds,1,95.66136363636365,2,0,58.325,2082.3,1
3671-SHRSP,Marina,Male,No,Yes,No,4,Month-to-month,Mailed check,80.6,319.15,Yes,86,Competitor offered more data,1,79.7875,2,0,42.3,322.4,0
3313-QKNKB,Pebble Beach,Male,No,Yes,No,59,One year,Electronic check,85.55,5084.65,Yes,80,Competitor offered more data,1,86.18050847457627,1,1,72.275,5047.45,1
5073-WXOYN,Belmont,Female,No,No,No,60,Month-to-month,Electronic check,50.8,3027.4,Yes,67,Competitor offered more data,1,50.45666666666667,2,1,55.4,3048,1
0207-MDKNV,Daly City,Female,No,No,No,15,Month-to-month,Electronic check,105.1,1582.75,Yes,84,Competitor made better offer,1,105.51666666666667,2,1,60.05,1576.5,0
9851-KIELU,Loma Mar,Male,No,No,No,10,Month-to-month,Electronic check,110.1,1043.3,Yes,76,Competitor made better offer,1,104.33,2,1,60.05,1101,0
3908-BLSYF,Los Altos,Female,No,No,No,6,Month-to-month,Electronic check,83.9,497.55,Yes,97,Price too high,1,82.925,2,1,44.95,503.40000000000003,0
7549-MYGPK,Mountain View,Female,No,Yes,No,63,Month-to-month,Electronic check,100.55,6215.35,Yes,79,Price too high,1,98.65634920634922,2,1,81.775,6334.65,1
3804-RVTGV,Mountain View,Male,No,Yes,No,50,Month-to-month,Bank transfer (automatic),103.85,5017.9,Yes,100,Price too high,1,100.35799999999999,2,0,76.925,5192.5,1
9227-LUNBG,Pescadero,Female,No,No,No,1,Month-to-month,Electronic check,24.6,24.6,Yes,76,Price too high,1,24.6,2,1,12.8,24.6,0
4315-MURBD,San Bruno,Female,No,No,No,12,Month-to-month,Bank transfer (automatic),98.9,1120.95,Yes,71,Price too high,1,93.41250000000001,2,0,55.45,1186.8000000000002,0
9734-YWGEX,South San Francisco,Female,No,No,No,9,Month-to-month,Credit card (automatic),98.3,923.5,Yes,81,Price too high,1,102.61111111111111,2,0,53.65,884.6999999999999,0
0781-LKXBR,San Francisco,Male,Yes,No,No,9,Month-to-month,Electronic check,100.5,918.6,Yes,70,Price too high,1,102.06666666666666,2,1,54.75,904.5,0
1907-UBQFC,San Francisco,Male,Yes,No,No,10,Month-to-month,Electronic check,72.85,688.65,Yes,99,Price too high,1,68.865,2,1,41.425,728.5,0
6513-EECDB,San Francisco,Male,Yes,Yes,No,1,Month-to-month,Electronic check,73.55,73.55,Yes,94,Price too high,1,73.55,2,1,37.275,73.55,0
7074-IEVOJ,San Francisco,Female,Yes,No,No,3,Month-to-month,Electronic check,79.4,205.05,Yes,91,Product dissatisfaction,1,68.35000000000001,2,1,41.2,238.20000000000002,0
9625-QSTYE,San Francisco,Female,No,No,No,13,Month-to-month,Electronic check,81.15,952.3,Yes,79,Service dissatisfaction,1,73.25384615384615,2,1,47.075,1054.95,0
4750-ZRXIU,Palo Alto,Female,Yes,No,No,4,Month-to-month,Electronic check,84.6,360.1,Yes,83,Lack of self-service on Website,1,90.025,2,1,44.3,338.4,0
6400-BWQKW,San Mateo,Female,No,No,No,6,Month-to-month,Electronic check,79.05,434.5,Yes,99,Network reliability,1,72.41666666666667,2,1,42.525,474.29999999999995,0
6680-WKXRZ,Antioch,Female,No,No,No,3,Month-to-month,Bank transfer (automatic),74.4,215.8,Yes,97,Don't know,1,71.93333333333334,2,0,38.7,223.20000000000002,0
7028-DVOIQ,Birds Landing,Male,Yes,No,No,35,Month-to-month,Electronic check,99.05,3395.8,Yes,82,Don't know,1,97.02285714285715,2,1,67.025,3466.75,1
4208-UFFGW,Byron,Male,Yes,No,No,2,Month-to-month,Mailed check,44.95,85.15,Yes,84,Don't know,1,42.575,2,0,23.475,89.9,0
9448-REEVD,Concord,Male,No,Yes,No,1,Month-to-month,Credit card (automatic),44.7,44.7,Yes,74,Don't know,1,44.7,2,0,22.85,44.7,0
9117-SHLZX,Fremont,Male,No,No,No,1,Month-to-month,Mailed check,45.7,45.7,Yes,72,Poor expertise of phone support,1,45.7,2,0,23.35,45.7,0
9889-TMAHG,Fremont,Male,Yes,No,No,8,Month-to-month,Credit card (automatic),100.3,832.35,Yes,74,Competitor had better devices,1,104.04375,2,0,54.15,802.4,0
4541-RMRLG,Hayward,Male,No,No,No,7,Month-to-month,Electronic check,19.25,112.3,Yes,82,Competitor offered higher download speeds,1,16.04285714285714,2,1,13.125,134.75,0
3158-MOERK,Hayward,Female,No,No,No,2,Month-to-month,Electronic check,96,174.8,Yes,83,Competitor offered more data,1,87.4,2,1,49,192,0
7294-TMAOP,Castro Valley,Female,No,No,No,1,Month-to-month,Electronic check,90.55,90.55,Yes,72,Competitor made better offer,1,90.55,2,1,45.775,90.55,0
8919-FYFQZ,Livermore,Male,Yes,Yes,No,44,Month-to-month,Electronic check,30.35,1359.7,Yes,96,Competitor had better devices,1,30.902272727272727,2,1,37.175,1335.4,0
2834-JRTUA,Martinez,Male,No,No,No,71,Two year,Electronic check,108.05,7532.15,Yes,81,Competitor had better devices,1,106.08661971830985,0,1,89.525,7671.55,1
5875-YPQFJ,Fremont,Male,No,No,No,1,Month-to-month,Electronic check,69.9,69.9,Yes,84,Competitor offered higher download speeds,1,69.9,2,1,35.45,69.9,0
6646-QVXLR,Napa,Male,Yes,Yes,No,62,One year,Electronic check,103.75,6383.35,Yes,91,Competitor offered higher download speeds,1,102.95725806451614,1,1,82.875,6432.5,1
8603-IJWDN,Pinole,Male,No,No,No,1,Month-to-month,Electronic check,86.6,86.6,Yes,93,Competitor offered higher download speeds,1,86.6,2,1,43.8,86.6,0
9369-XFEHK,Pleasanton,Female,Yes,Yes,No,33,Month-to-month,Bank transfer (automatic),80.6,2656.5,Yes,72,Competitor offered more data,1,80.5,2,0,56.8,2659.7999999999997,1
3842-IYKUE,San Leandro,Female,No,No,No,35,Month-to-month,Credit card (automatic),85.3,2917.5,Yes,88,Competitor offered more data,1,83.35714285714286,2,0,60.15,2985.5,1
6641-XRPSU,San Lorenzo,Female,No,No,No,34,Month-to-month,Credit card (automatic),70,2416.1,Yes,93,Competitor offered more data,1,71.06176470588235,2,0,52,2380,1
1374-DMZUI,San Ramon,Female,Yes,No,No,4,Month-to-month,Electronic check,94.3,424.45,Yes,99,Competitor made better offer,1,106.1125,2,1,49.15,377.2,0
8357-EQXFO,Union City,Female,No,No,No,7,Month-to-month,Electronic check,95.35,660.9,Yes,92,Competitor made better offer,1,94.41428571428571,2,1,51.175,667.4499999999999,0
1989-PRJHP,Pleasanton,Male,Yes,Yes,No,27,Month-to-month,Electronic check,75.5,1893.95,Yes,65,Competitor had better devices,1,70.1462962962963,2,1,51.25,2038.5,1
